Refseq_protID_human,Refseq_protID_Phha,gene_symbol_Phha,description_Phha,gene_symbol_human,description_human,,
NP_001004052,XP_045695528.1,LOC123819267,olfactory receptor 52B2,OR52B2,olfactory receptor family 52 subfamily B member 2,,
NP_001004058,XP_045714262.1,LOC123831426,olfactory receptor 8K5-like,OR8K5,olfactory receptor family 8 subfamily K member 5,,
NP_001004059,XP_045716050.1,LOC123832446,LOW QUALITY PROTEIN: olfactory receptor 4S2-like,OR4S2,olfactory receptor family 4 subfamily S member 2,,
NP_001004063,XP_045679055.1,LOC123808448,olfactory receptor 4K1,OR4K1,olfactory receptor family 4 subfamily K member 1,,
NP_001004064,XP_045714293.1,LOC123831459,olfactory receptor 8J1-like,OR8J3,olfactory receptor family 8 subfamily J member 3,,
NP_001004124,XP_045716048.1,LOC123832444,olfactory receptor 4P4-like,OR4P4,olfactory receptor family 4 subfamily P member 4,,
NP_001004134,XP_045685361.1,LOC123812628,LOW QUALITY PROTEIN: olfactory receptor 10AD1,OR10AD1,olfactory receptor family 10 subfamily AD member 1,,
NP_001004135,XP_045713531.1,LOC123830951,LOW QUALITY PROTEIN: olfactory receptor 2A12-like,OR2A12,olfactory receptor family 2 subfamily A member 12,,
NP_001004137,XP_045673759.1,LOC123805323,olfactory receptor 52M1,OR52M1,olfactory receptor family 52 subfamily M member 1,,
NP_001004328,XP_045677874.1,LOC123807809,zinc finger protein 705A-like isoform X1,ZNF705A,zinc finger protein 705A,,
NP_001004354,XP_045702199.1,LOC123823461,notch-regulated ankyrin repeat-containing protein,NRARP,NOTCH regulated ankyrin repeat protein,,
NP_001004452,XP_045701858.1,LOC123823313,LOW QUALITY PROTEIN: olfactory receptor 1J4-like,OR1J4,olfactory receptor family 1 subfamily J member 4,,
NP_001004453,XP_045702372.1,LOC123823552,olfactory receptor 1L4,OR1L6,olfactory receptor family 1 subfamily L member 6,,
NP_001004454,XP_045696915.1,LOC123820219,olfactory receptor 1L8-like,OR1L8,olfactory receptor family 1 subfamily L member 8,,
NP_001004456,XP_045687655.1,LOC123814109,olfactory receptor 24,OR1M1,olfactory receptor family 1 subfamily M member 1,,
NP_001004457,XP_045701859.1,LOC123823314,olfactory receptor 1N2,OR1N2,olfactory receptor family 1 subfamily N member 2,,
NP_001004458,XP_045714360.1,LOC123831524,olfactory receptor 1S1-like,OR1S1,olfactory receptor family 1 subfamily S member 1,,
NP_001004471,XP_045714274.1,LOC123831443,olfactory receptor 10Q1,OR10Q1,olfactory receptor family 10 subfamily Q member 1,,
NP_001004474,XP_045716152.1,LOC123832522,olfactory receptor 10S1,OR10S1,olfactory receptor family 10 subfamily S member 1,,
NP_001004479,XP_045679296.1,LOC123808584,LOW QUALITY PROTEIN: olfactory receptor 11H4-like,OR11H4,olfactory receptor family 11 subfamily H member 4,,
NP_001004481,XP_045696666.1,LOC123820034,olfactory receptor 13C9,OR13C2,olfactory receptor family 13 subfamily C member 2,,
NP_001004483,XP_045695963.1,LOC123819611,LOW QUALITY PROTEIN: olfactory receptor 13C8-like,OR13C8,olfactory receptor family 13 subfamily C member 8,,
NP_001004484,XP_045696771.1,LOC123820103,olfactory receptor 13D1,OR13D1,olfactory receptor family 13 subfamily D member 1,,
NP_001004485,XP_045695965.1,LOC123819613,olfactory receptor 13F1-like,OR13F1,olfactory receptor family 13 subfamily F member 1,,
NP_001004487,XP_045696932.1,LOC123820234,olfactory receptor 13J1-like,OR13J1,olfactory receptor family 13 subfamily J member 1,,
NP_001004488,XP_045713556.1,LOC123830979,olfactory receptor 2A25-like,OR2A25,olfactory receptor family 2 subfamily A member 25,,
NP_001004490,XP_045692095.1,LOC123816902,LOW QUALITY PROTEIN: olfactory receptor 2AG2-like,OR2AG2,olfactory receptor family 2 subfamily AG member 2,,
NP_001004492,XP_045706540.1,LOC123826592,olfactory receptor 2B11,OR2B11,olfactory receptor family 2 subfamily B member 11,,
NP_001004684,XP_045692190.1,LOC123816959,olfactory receptor 2D3,OR2D3,olfactory receptor family 2 subfamily D member 3,,
NP_001004699,XP_045709542.1,LOC123828538,olfactory receptor 2Z1-like,OR2Z1,olfactory receptor family 2 subfamily Z member 1,,
NP_001004701,XP_045716051.1,LOC123832447,olfactory receptor 4C16-like,OR4C16,olfactory receptor family 4 subfamily C member 16,,
NP_001004702,XP_045681528.1,LOC123810112,LOW QUALITY PROTEIN: olfactory receptor 4C3,OR4C3,olfactory receptor family 4 subfamily C member 3,,
NP_001004706,XP_045711078.1,LOC123829419,olfactory receptor 4D11,OR4D11,olfactory receptor family 4 subfamily D member 11,,
NP_001004707,XP_045695281.1,LOC123819016,olfactory receptor 4D2,OR4D2,olfactory receptor family 4 subfamily D member 2,,
NP_001004708,XP_045711245.1,LOC123829505,olfactory receptor 4D6-like,OR4D6,olfactory receptor family 4 subfamily D member 6,,
NP_001004713,XP_045709575.1,LOC123828567,LOW QUALITY PROTEIN: olfactory receptor 1I1,OR1I1,olfactory receptor family 1 subfamily I member 1,,
NP_001004717,XP_045679401.1,LOC123808659,olfactory receptor 4L1-like,OR4L1,olfactory receptor family 4 subfamily L member 1,,
NP_001004723,XP_045679057.1,LOC123808450,olfactory receptor 4N5,OR4N2,olfactory receptor family 4 subfamily N member 2,,
NP_001004725,XP_045681101.1,LOC123809889,olfactory receptor 4S1,OR4S1,olfactory receptor family 4 subfamily S member 1,,
NP_001004726,XP_045681605.1,LOC123810158,olfactory receptor 4X1-like,OR4X1,olfactory receptor family 4 subfamily X member 1,,
NP_001004727,XP_045681572.1,LOC123810135,olfactory receptor 4X2-like,OR4X2,olfactory receptor family 4 subfamily X member 2,,
NP_001004728,XP_045710717.1,LOC123829260,olfactory receptor 5A1,OR5A1,olfactory receptor family 5 subfamily A member 1,,
NP_001004729,XP_045711338.1,LOC123829550,olfactory receptor 1440-like,OR5AN1,olfactory receptor family 5 subfamily AN member 1,,
NP_001004730,XP_045714345.1,LOC123831506,olfactory receptor 1019,OR5AR1,olfactory receptor family 5 subfamily AR member 1,,
NP_001004731,XP_045679821.1,LOC123808921,olfactory receptor 5AU1,OR5AU1,olfactory receptor family 5 subfamily AU member 1,,
NP_001004732,XP_045686062.1,LOC123813063,olfactory receptor 14K1-like,OR14K1,olfactory receptor family 14 subfamily K member 1,,
NP_001004733,XP_045711304.1,LOC123829528,olfactory receptor 5B12,OR5B12,olfactory receptor family 5 subfamily B member 12,,
NP_001004735,XP_045716073.1,LOC123832472,olfactory receptor 5D14,OR5D14,olfactory receptor family 5 subfamily D member 14,,
NP_001004738,XP_045716069.1,LOC123832468,olfactory receptor 5L1-like,OR5L1,olfactory receptor family 5 subfamily L member 1,,
NP_001004741,XP_045714321.1,LOC123831484,olfactory receptor 5M10-like,OR5M10,olfactory receptor family 5 subfamily M member 10,,
NP_001004742,XP_045714265.1,LOC123831430,LOW QUALITY PROTEIN: uncharacterized protein LOC123831430,OR5M3,olfactory receptor family 5 subfamily M member 3,,
NP_001004743,XP_045714307.1,LOC123831472,olfactory receptor 5M9,OR5M9,olfactory receptor family 5 subfamily M member 9,,
NP_001004744,XP_045714292.1,LOC123831457,LOW QUALITY PROTEIN: olfactory receptor 1038-like,OR8U3,olfactory receptor family 8 subfamily U member 3,,
NP_001004746,XP_045714256.1,LOC123831419,olfactory receptor 5T2-like,OR5T2,olfactory receptor family 5 subfamily T member 2,,
NP_001004750,XP_045695546.1,LOC123819288,olfactory receptor 51B6,OR51B6,olfactory receptor family 51 subfamily B member 6,,
NP_001004751,XP_045674208.1,LOC123805590,olfactory receptor 51D1,OR51D1,olfactory receptor family 51 subfamily D member 1,,
NP_001004752,XP_045673752.1,LOC123805316,LOW QUALITY PROTEIN: olfactory receptor 51F1,OR51F1,olfactory receptor family 51 subfamily F member 1,,
NP_001004753,XP_045674134.1,LOC123805539,olfactory receptor 51F2,OR51F2,olfactory receptor family 51 subfamily F member 2,,
NP_001004754,XP_045695563.1,LOC123819304,olfactory receptor 51I2,OR51I2,olfactory receptor family 51 subfamily I member 2,,
NP_001004755,XP_045706670.1,LOC123826708,olfactory receptor 51L1-like,OR51L1,olfactory receptor family 51 subfamily L member 1,,
NP_001004757,XP_045695508.1,LOC123819237,olfactory receptor 51Q1,OR51Q1,olfactory receptor family 51 subfamily Q member 1,,
NP_001004758,XP_045674301.1,LOC123805645,olfactory receptor 51S1,OR51S1,olfactory receptor family 51 subfamily S member 1,,
NP_001004759,XP_045674284.1,LOC123805637,olfactory receptor 51T1,OR51T1,olfactory receptor family 51 subfamily T member 1,,
NP_001004760,XP_045695431.1,LOC123819182,olfactory receptor 51V1,OR51V1,olfactory receptor family 51 subfamily V member 1,,
NP_001005,XP_045690740.1,LOC123816057,40S ribosomal protein S10,RPS10,ribosomal protein S10,,
NP_001005160,XP_045695503.1,LOC123819233,olfactory receptor 52A5,OR52A5,olfactory receptor family 52 subfamily A member 5,,
NP_001005161,XP_045673764.1,LOC123805327,olfactory receptor 52B4-like,OR52B4,olfactory receptor family 52 subfamily B member 4,,
NP_001005162,XP_045695460.1,LOC123819205,olfactory receptor 52B6,OR52B6,olfactory receptor family 52 subfamily B member 6,,
NP_001005163,XP_045695510.1,LOC123819240,olfactory receptor 52D1,OR52D1,olfactory receptor family 52 subfamily D member 1,,
NP_001005164,XP_045674109.1,LOC123805522,olfactory receptor 52E2,OR52E2,olfactory receptor family 52 subfamily E member 2,,
NP_001005165,XP_045695539.1,LOC123819282,olfactory receptor 52E4,OR52E4,olfactory receptor family 52 subfamily E member 4,,
NP_001005166,XP_045695545.1,LOC123819286,LOW QUALITY PROTEIN: olfactory receptor 52E5-like,OR52E5,olfactory receptor family 52 subfamily E member 5,,
NP_001005168,XP_045695537.1,LOC123819280,olfactory receptor 52E8,OR52E8,olfactory receptor family 52 subfamily E member 8,,
NP_001005169,XP_045673758.1,LOC123805322,olfactory receptor 52I2-like,OR52I1,olfactory receptor family 52 subfamily I member 1,,
NP_001005171,XP_045674209.1,LOC123805592,olfactory receptor 52K1,OR52K1,olfactory receptor family 52 subfamily K member 1,,
NP_001005173,XP_045695524.1,LOC123819263,olfactory receptor 52L1-like,OR52L1,olfactory receptor family 52 subfamily L member 1,,
NP_001005174,XP_045695577.1,LOC123819311,olfactory receptor 52N2,OR52N2,olfactory receptor family 52 subfamily N member 2,,
NP_001005175,XP_045695549.1,LOC123819292,olfactory receptor 52N4,OR52N4,olfactory receptor family 52 subfamily N member 4,,
NP_001005177,XP_045674196.1,LOC123805576,olfactory receptor 52R1,OR52R1,olfactory receptor family 52 subfamily R member 1,,
NP_001005178,XP_045695438.1,LOC123819189,olfactory receptor 52W1,OR52W1,olfactory receptor family 52 subfamily W member 1,,
NP_001005179,XP_045695559.1,LOC123819301,olfactory receptor 56A4-like,OR56A4,olfactory receptor family 56 subfamily A member 4,,
NP_001005179,XP_045695561.1,LOC123819303,LOW QUALITY PROTEIN: olfactory receptor 56A4-like,OR56A4,olfactory receptor family 56 subfamily A member 4,,
NP_001005181,XP_045695586.1,LOC123819321,LOW QUALITY PROTEIN: olfactory receptor 56B4-like,OR56B4,olfactory receptor family 56 subfamily B member 4,,
NP_001005183,XP_045685330.1,LOC123812594,olfactory receptor 6C76,OR6C76,olfactory receptor family 6 subfamily C member 76,,
NP_001005186,XP_045714373.1,LOC123831528,olfactory receptor 6Q1,OR6Q1,olfactory receptor family 6 subfamily Q member 1,,
NP_001005187,XP_045716153.1,LOC123832523,olfactory receptor 6T1,OR6T1,olfactory receptor family 6 subfamily T member 1,,
NP_001005190,XP_045709564.1,LOC123828562,olfactory receptor 7A10-like,OR7A10,olfactory receptor family 7 subfamily A member 10,,
NP_001005191,XP_045709320.1,LOC123828418,olfactory receptor 7D4-like,OR7D4,olfactory receptor family 7 subfamily D member 4,,
NP_001005194,XP_045716247.1,LOC123832572,LOW QUALITY PROTEIN: olfactory receptor 8A1-like,OR8A1,olfactory receptor family 8 subfamily A member 1,,
NP_001005195,XP_045716246.1,LOC123832570,LOW QUALITY PROTEIN: olfactory receptor 8B12,OR8B12,olfactory receptor family 8 subfamily B member 12,,
NP_001005196,XP_045675827.1,LOC123806629,olfactory receptor 8B4-like,OR8B4,olfactory receptor family 8 subfamily B member 4,,
NP_001005201,XP_045714354.1,LOC123831516,olfactory receptor 8H1-like,OR8H3,olfactory receptor family 8 subfamily H member 3,,
NP_001005202,XP_045714294.1,LOC123831460,olfactory receptor 8K3-like,OR8K3,olfactory receptor family 8 subfamily K member 3 (gene/pseudogene),,
NP_001005211,XP_045714340.1,LOC123831502,olfactory receptor 9I1-like,OR9I1,olfactory receptor family 9 subfamily I member 1,,
NP_001005212,XP_045714337.1,LOC123831500,olfactory receptor 9Q1,OR9Q1,olfactory receptor family 9 subfamily Q member 1,,
NP_001005217,XP_045702601.1,LOC123823693,protein FRG2-like,FRG2,FSHD region gene 2,,
NP_001005218,XP_045711302.1,LOC123829525,olfactory receptor 1444,OR5B21,olfactory receptor family 5 subfamily B member 21,,
NP_001005221,XP_045679446.1,LOC123808692,olfactory receptor 4F3/4F16/4F29,OR4F29,olfactory receptor family 4 subfamily F member 29,,
NP_001005234,XP_045702412.1,LOC123823571,olfactory receptor 1L3-like,OR1L3,olfactory receptor family 1 subfamily L member 3,,
NP_001005237,XP_045674144.1,LOC123805546,olfactory receptor 51G1,OR51G1,olfactory receptor family 51 subfamily G member 1,,
NP_001005238,XP_045674113.1,LOC123805525,olfactory receptor 51G2,OR51G2,olfactory receptor family 51 subfamily G member 2,,
NP_001005243,XP_045686036.1,LOC123813050,olfactory receptor 9K2,OR9K2,olfactory receptor family 9 subfamily K member 2,,
NP_001005245,XP_045714305.1,LOC123831469,olfactory receptor 5M11,OR5M11,olfactory receptor family 5 subfamily M member 11,,
NP_001005270,XP_045681529.1,LOC123810113,olfactory receptor 4C12-like,OR4C12,olfactory receptor family 4 subfamily C member 12,,
NP_001005272,XP_045716058.1,LOC123832458,olfactory receptor 4A5-like,OR4A5,olfactory receptor family 4 subfamily A member 5,,
NP_001005274,XP_045716056.1,LOC123832456,olfactory receptor 4A5-like,OR4A16,olfactory receptor family 4 subfamily A member 16,,
NP_001005280,XP_045684913.1,LOC123812347,LOW QUALITY PROTEIN: olfactory receptor 10A7,OR10A7,olfactory receptor family 10 subfamily A member 7,,
NP_001005281,XP_045713530.1,LOC123830950,olfactory receptor 6B1,OR6B1,olfactory receptor family 6 subfamily B member 1,,
NP_001005282,XP_045714295.1,LOC123831461,olfactory receptor 5M8,OR5M8,olfactory receptor family 5 subfamily M member 8,,
NP_001005283,XP_045714347.1,LOC123831509,olfactory receptor 9Q2-like,OR9Q2,olfactory receptor family 9 subfamily Q member 2,,
NP_001005285,XP_045674221.1,LOC123805605,olfactory receptor 2AT4,OR2AT4,olfactory receptor family 2 subfamily AT member 4,,
NP_001005288,XP_045695560.1,LOC123819302,olfactory receptor 51I1,OR51I1,olfactory receptor family 51 subfamily I member 1,,
NP_001005289,XP_045695538.1,LOC123819281,olfactory receptor 52H1,OR52H1,olfactory receptor family 52 subfamily H member 1,,
NP_001005323,XP_045714287.1,LOC123831454,putative olfactory receptor 5AK3,OR5AK2,olfactory receptor family 5 subfamily AK member 2,,
NP_001005325,XP_045716337.1,LOC123832626,olfactory receptor 6M1-like,OR6M1,olfactory receptor family 6 subfamily M member 1,,
NP_001005326,XP_045679090.1,LOC123808472,olfactory receptor 4F15-like,OR4F6,olfactory receptor family 4 subfamily F member 6,,
NP_001005329,XP_045695581.1,LOC123819316,olfactory receptor 51A4-like,OR51A4,olfactory receptor family 51 subfamily A member 4,,
NP_001005338,XP_045707776.1,LOC123827300,olfactory receptor 5H2,OR5H1,olfactory receptor family 5 subfamily H member 1,,
NP_001005464,XP_045672577.1,LOC123804377,histone H3,H3C15,H3 clustered histone 15,,
NP_001005464,XP_045672584.1,LOC123804385,histone H3-like,H3C15,H3 clustered histone 15,,
NP_001005464,XP_045672585.1,LOC123804386,histone H3-like,H3C15,H3 clustered histone 15,,
